al ag as at k5 lm ln,iq ir mg bn,iq ir mg bn,al ag as at k5 lm ln,kp kq fy fw b1,g2 fv g3 be di bg dj b1,rich-text
45,極品紅茶 Prime Black Tea,極品紅茶 Prime Black Tea,45,,"冷飲(660ml)：總熱量214大卡，總糖量45公克，咖啡因200毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量131大卡，總糖量27公克，咖啡因167毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
50,紅水烏龍 Red Oolong Tea,紅水烏龍 Red Oolong Tea,50,,"冷飲(660ml)：總熱量177大卡，總糖量37公克，咖啡因286毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量127大卡，總糖量27公克，咖啡因163毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅水鳥龍/臺灣",
50,三韻紅萱 Hongxuan Tea,三韻紅萱 Hongxuan Tea,50,,"冷飲(660ml)：總熱量173大卡，總糖量37公克，咖啡因140毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量126大卡，總糖量27公克，咖啡因117毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三韻紅萱/臺灣(本產品圖片僅供參考，實品請以實物為主)",
55,三十三茶王 33 King's Oolong Tea,三十三茶王 33 King's Oolong Tea,55,,"冷飲(660ml)：總熱量182大卡，總糖量37公克，咖啡因117毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量95大卡，總糖量19公克，咖啡因97毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣(本產品圖片僅供參考，實品請以實物為主)",
55,碎銀普洱茶 Puerh Tea,碎銀普洱茶 Puerh Tea,55,,"冷飲(660ml)：總熱量210大卡，總糖量45公克，咖啡因165毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量127大卡，總糖量27公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
55,花沫烏龍 Blooming Oolong Tea,花沫烏龍 Blooming Oolong Tea,55,,"冷飲(660ml)：總熱量175大卡，總糖量37公克，咖啡因112毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量89大卡，總糖量19公克，咖啡因93毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主)",
60,極品奶茶 Black Milk Tea,極品奶茶 Black Milk Tea,60,,"冷飲(660ml)：總熱量491大卡，總糖量46公克，咖啡因183毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量332大卡，總糖量30公克，咖啡因292毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
60,翡翠奶茶 Green Milk Tea,翡翠奶茶 Green Milk Tea,60,,"冷飲(660ml)：總熱量489大卡，總糖量46公克，咖啡因163毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量330大卡，總糖量30公克，咖啡因259毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
65,茶王奶茶 King's Oolong Milk Tea,茶王奶茶 King's Oolong Milk Tea,65,,"冷飲(660ml)：總熱量494大卡，總糖量46公克，咖啡因107毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量337大卡，總糖量30公克，咖啡因170毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣(本產品圖片僅供參考，實品請以實物為主)",
65,碎銀普洱奶茶 Puerh Milk Tea,碎銀普洱奶茶 Puerh Milk Tea,65,,"冷飲(660ml)：總熱量585大卡，總糖量48公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量424大卡，總糖量32公克，咖啡因206毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
72,珍珠奶茶 Black Milk Tea with Tapioca,珍珠奶茶 Black Milk Tea with Tapioca,72,,"冷飲(660ml)：總熱量670大卡，總糖量42公克，咖啡因150毫克。
熱飲(500ml)：總熱量539大卡，總糖量32公克，咖啡因292毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南
(本產品圖片僅供參考，實品請以實物為主)",
70,蜂蜜奶茶 Honey Milk Tea,蜂蜜奶茶 Honey Milk Tea,70,,"冷飲(660ml)：總熱量329大卡，總糖量32公克，咖啡因129毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量231大卡，總糖量31公克，咖啡因117毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南 (本產品圖片僅供參考，實品請以實物為主)",
65,楊桃雷夢 Star Fruit with Lemon,楊桃雷夢 Star Fruit with Lemon,65,,冷飲(660ml)：總熱量299大卡，總糖量68公克，咖啡因42毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算/)紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主),
60,阿源楊桃綠茶 Star Fruit Green Tea,阿源楊桃綠茶 Star Fruit Green Tea,60,,"冷飲(660ml)：總熱量250大卡，總糖量60公克，咖啡因111毫克。
熱飲(500ml)：總熱量226大卡，總糖量54公克，咖啡因89毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算/)翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
55,豆漿紅茶 Soybean Black Tea,豆漿紅茶 Soybean Black Tea,55,,"冷飲(660ml)：總熱量266大卡，總糖量42公克，咖啡因125毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量181大卡，總糖量23公克，咖啡因125毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
65,冬瓜雷夢 Winter Melon with Lemon,冬瓜雷夢 Winter Melon with Lemon,65,,冷飲(660ml)：總熱量229大卡，總糖量45公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
60,阿源楊桃紅茶 Star Fruit Black Tea,阿源楊桃紅茶 Star Fruit Black Tea,60,,"冷飲(660ml)：總熱量252大卡，總糖量60公克，咖啡因125毫克。
熱飲(500ml)：總熱量227大卡，總糖量54公克，咖啡因100毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算/)紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
60,冬瓜茶王 Winter Melon with 33 King's Oolong Tea,冬瓜茶王 Winter Melon with 33 King's Oolong Tea,60,,"冷飲(660ml)：總熱量213大卡，總糖量42公克，咖啡因49毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量215大卡，總糖量42公克，咖啡因73毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣(本產品圖片僅供參考，實品請以實物為主)",
70,甘蔗四季春 Sugarcane Juice Four Season Tea,甘蔗四季春 Sugarcane Juice Four Season Tea,70,,冷飲(660ml)：總熱量234大卡，總糖量53公克，咖啡因84毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)四季春青茶/臺灣(本產品圖片僅供參考，實品請以實物為主),
89,星桃樂翡翠 Starfruit Guava Green Tea,星桃樂翡翠 Starfruit Guava Green Tea,89,,"冷飲(660ml)：總熱量296大卡，總糖量68公克，咖啡因111毫克。甜度固定，冰塊固定
(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算) (本產品圖片僅供參考，實品請以實物為主)/翡翠綠茶/越南",
89,紅柚翡翠 Grapefruit Green Tea,紅柚翡翠 Grapefruit Green Tea,89,,冷飲(660ml)：總熱量285大卡，總糖量63公克，咖啡因126毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
70,柳丁翡翠 Orange Green Tea,柳丁翡翠 Orange Green Tea,70,,冷飲(660ml)：總熱量337大卡，總糖量60公克，咖啡因103毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
65,鮮果百香綠茶 Passion fruit Green Tea,鮮果百香綠茶 Passion fruit Green Tea,65,,冷飲(660ml)：總熱量344大卡，總糖量68公克，咖啡因148毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
70,翡翠雷夢 Lemon Green Tea,翡翠雷夢 Lemon Green Tea,70,,"冷飲(660ml)：總熱量327大卡，總糖量68公克，咖啡因148毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)
(本產品圖片僅供參考，實品請以實物為主)",
65,鮮果百香紅茶 Passion fruit Black Tea,鮮果百香紅茶 Passion fruit Black Tea,65,,冷飲(660ml)：總熱量345大卡，總糖量68公克，咖啡因167毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主),
70,蘋果紅萱 Apple HongXuan Tea,蘋果紅萱 Apple HongXuan Tea,70,,"冷飲(660ml)：總熱量313大卡，總糖量56公克，咖啡因94毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量240大卡，總糖量52公克，咖啡因140毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三韻紅萱/臺灣(本產品圖片僅供參考，實品請以實物為主)",
80,蜜桃烏龍 Peach Blooming Oolong Tea,蜜桃烏龍 Peach Blooming Oolong Tea,80,Popular,冷飲(660ml)：總熱量288大卡，總糖量63公克，咖啡因93毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主),
75,極品鮮乳茶 Black Fresh Milk Tea,極品鮮乳茶 Black Fresh Milk Tea,75,,"冷飲(660ml)：總熱量317大卡，總糖量52公克，咖啡因208毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量234大卡，總糖量34公克，咖啡因208毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅茶/斯里蘭卡、越南(本產品圖片僅供參考，實品請以實物為主)",
75,龜記濃乳茶 Guiji Fresh Milk Tea,龜記濃乳茶 Guiji Fresh Milk Tea,75,,"冷飲(660ml)：總熱量317大卡，總糖量52公克，咖啡因271毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量233大卡，總糖量34公克，咖啡因226毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/龜記濃乳茶/臺灣、斯里蘭卡、肯亞(本產品圖片僅供參考，實品請以實物為主)",
80,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,紅烏鮮乳茶 Red Oolong Fresh Milk Tea,80,,"冷飲(660ml)：總熱量314大卡，總糖量52公克，咖啡因245毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量230大卡，總糖量34公克，咖啡因204毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/紅水烏龍/臺灣、越南(本產品圖片僅供參考，實品請以實物為主)",
75,冬瓜鮮乳 Winter Melon Fresh Milk(無添加茶),冬瓜鮮乳 Winter Melon Fresh Milk(無添加茶),75,,"冷飲(660ml)：總熱量284大卡，總糖量44公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量310大卡，總糖量49公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主)",
75,翡翠鮮乳茶 Green Fresh Milk Tea,翡翠鮮乳茶 Green Fresh Milk Tea,75,,"冷飲(660ml)：總熱量315大卡，總糖量52公克，咖啡因185毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量232大卡，總糖量34公克，咖啡因185毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主)",
85,巧克力鮮乳茶 Chocolate Fresh Milk Tea,巧克力鮮乳茶 Chocolate Fresh Milk Tea,85,,"冷飲(660ml)：總熱量348大卡，總糖量51公克，咖啡因177毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量332大卡，總糖量44公克，咖啡因132毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/龜記濃乳茶/臺灣、斯里蘭卡、肯亞(本產品圖片僅供參考，實品請以實物為主)",
85,茶王鮮乳茶 33 King's Oolong Fresh Milk Tea,茶王鮮乳茶 33 King's Oolong Fresh Milk Tea,85,,"冷飲(660ml)：總熱量322大卡，總糖量52公克，咖啡因146毫克。
(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算) 熱飲(500ml)：總熱量238大卡，總糖量34公克，咖啡因122毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/三十三茶王/臺灣 (本產品圖片僅供參考，實品請以實物為主)",
85,碎銀普洱鮮乳 Puerh Fresh Milk Tea,碎銀普洱鮮乳 Puerh Fresh Milk Tea,85,,"冷飲(660ml)：總熱量312大卡，總糖量52公克，咖啡因138毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)
熱飲(500ml)：總熱量230大卡，總糖量34公克，咖啡因172毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/碎銀普洱茶/中國(本產品圖片僅供參考，實品請以實物為主)",
60,蜂蜜四季春 Honey Four Season Tea,蜂蜜四季春 Honey Four Season Tea,60,,冷飲(660ml)：總熱量137大卡，總糖量29公克，咖啡因148毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/四季春青茶/臺灣(本產品圖片僅供參考，實品請以實物為主),
60,蜂蜜綠茶 Honey Green Tea,蜂蜜綠茶 Honey Green Tea,60,,冷飲(660ml)：總熱量134大卡，總糖量29公克，咖啡因103毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)/翡翠綠茶/越南(本產品圖片僅供參考，實品請以實物為主),
75,蜂蜜雷夢 Honey Lemonade,蜂蜜雷夢 Honey Lemonade,75,,冷飲(660ml)：總熱量263大卡，總糖量57公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
85,雷夢蘆薈蜜 Honey Lemonade with Aloe,雷夢蘆薈蜜 Honey Lemonade with Aloe,85,,冷飲(660ml)：總熱量309大卡，總糖量69公克，咖啡因0毫克。(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算)(本產品圖片僅供參考，實品請以實物為主),
70,蜂蜜花沫烏龍 Honey Blooming Oolong Tea,蜂蜜花沫烏龍 Honey Blooming Oolong Tea,70,,"冷飲(660ml)：總熱量136大卡，總糖量29公克，咖啡因131毫克。
(熱量及糖分克數皆以全糖計算；咖啡因以整杯計算) 花沫烏龍/越南、臺灣(本產品圖片僅供參考，實品請以實物為主)",
2,外送塑膠袋,外送塑膠袋,2,,需要裝袋，請一定要購買提袋喔！感恩！,
