"al ag as at ba b9 re","o8 mg o9 bo bp ds dt b1","o8 mg o9 bo ej bq dt b1","al ag as at ba b9 re"
"金萱蘋果茶王","金萱蘋果茶王","NT$80.00","金萱蘋果茶王"
"金萱蘋果茶王 L","金萱蘋果茶王 L","NT$80.00","金萱蘋果茶王 L"
"金萱水果茶王 L","金萱水果茶王 L","NT$80.00","金萱水果茶王 L"
"莊園馡紅拿鐵 L","莊園馡紅拿鐵 L","NT$70.00","莊園馡紅拿鐵 L"
"馡紅烏龍粉粿","馡紅烏龍粉粿","NT$55.00","馡紅烏龍粉粿"
"海鹽生乳馡紅奶蓋 L","海鹽生乳馡紅奶蓋 L","NT$65.00","海鹽生乳馡紅奶蓋 L"
"招牌烏龍拿鐵 L","招牌烏龍拿鐵 L","NT$70.00","招牌烏龍拿鐵 L"
"海鹽生乳招牌烏龍奶蓋 L","海鹽生乳招牌烏龍奶蓋 L","NT$65.00","海鹽生乳招牌烏龍奶蓋 L"
"金萱白桃冰茶凍飲 L","金萱白桃冰茶凍飲 L","NT$80.00","金萱白桃冰茶凍飲 L"
"珍珠招牌烏龍拿鐵 L","珍珠招牌烏龍拿鐵 L","NT$80.00","珍珠招牌烏龍拿鐵 L"
"金萱脆梅茶王 L","金萱脆梅茶王 L","NT$70.00","金萱脆梅茶王 L"
"馡紅烏龍粉粿 L","馡紅烏龍粉粿 L","NT$55.00","馡紅烏龍粉粿 L"
"金萱青檸茶王 L","金萱青檸茶王 L","NT$65.00","金萱青檸茶王 L"
"珍珠莊園馡紅拿鐵 L","珍珠莊園馡紅拿鐵 L","NT$80.00","珍珠莊園馡紅拿鐵 L"
"馡紅烏龍拿鐵 L","馡紅烏龍拿鐵 L","NT$70.00","馡紅烏龍拿鐵 L"
"馡紅烏龍三重奏 L","馡紅烏龍三重奏 L","NT$55.00","馡紅烏龍三重奏 L"
"馡紅烏龍拿鐵凍飲 L","馡紅烏龍拿鐵凍飲 L","NT$80.00","馡紅烏龍拿鐵凍飲 L"
"冬瓜露三重奏 L","冬瓜露三重奏 L","NT$55.00","冬瓜露三重奏 L"
"海鹽生乳綠茶奶蓋 L","海鹽生乳綠茶奶蓋 L","NT$65.00","海鹽生乳綠茶奶蓋 L"
"金萱水果茶王粉粿 L","金萱水果茶王粉粿 L","NT$95.00","金萱水果茶王粉粿 L"
"馡紅烏龍","馡紅烏龍","NT$40.00","馡紅烏龍"
"莊園馡紅","莊園馡紅","NT$40.00","莊園馡紅"
"烏龍蕎麥 L","烏龍蕎麥 L","NT$40.00","烏龍蕎麥 L"
"莊園馡紅 L","莊園馡紅 L","NT$40.00","莊園馡紅 L"
"馡紅烏龍 L","馡紅烏龍 L","NT$40.00","馡紅烏龍 L"
"招牌烏龍 L","招牌烏龍 L","NT$40.00","招牌烏龍 L"
"金萱茶王 L","金萱茶王 L","NT$40.00","金萱茶王 L"
"三窨綠茶 L","三窨綠茶 L","NT$40.00","三窨綠茶 L"
"熟成蕎麥 L","熟成蕎麥 L","NT$40.00","熟成蕎麥 L"
"冬瓜露涼水 L","冬瓜露涼水 L","NT$40.00","冬瓜露涼水 L"
"大麥決明拿鐵 L","大麥決明拿鐵 L","NT$70.00","大麥決明拿鐵 L"
"珍珠大麥決明拿鐵 L","珍珠大麥決明拿鐵 L","NT$80.00","珍珠大麥決明拿鐵 L"
"海鹽生乳蕎麥奶蓋 L","海鹽生乳蕎麥奶蓋 L","NT$65.00","海鹽生乳蕎麥奶蓋 L"
"熟成蕎麥三重奏 L","熟成蕎麥三重奏 L","NT$55.00","熟成蕎麥三重奏 L"
"大麥決明拿鐵凍飲 L","大麥決明拿鐵凍飲 L","NT$80.00","大麥決明拿鐵凍飲 L"
"海鹽生乳馡紅烏龍奶蓋 L","海鹽生乳馡紅烏龍奶蓋 L","NT$65.00","海鹽生乳馡紅烏龍奶蓋 L"
"塑膠袋","塑膠袋","NT$2.00","塑膠袋"